vehicle_id,edge_id,departure_time,travel_time
2,1,21600,7.2
2,1,23400,7.2
2,1,25200,7.2
2,1,27000,7.2
2,1,28800,7.2
2,1,30600,7.2
2,1,32400,14.4
2,1,34200,14.4
2,1,36000,14.4
2,1,37800,14.4
2,1,39600,14.4
2,1,41400,14.4
2,2,21600,3.5999999999999996
2,2,23400,3.5999999999999996
2,2,25200,3.5999999999999996
2,2,27000,3.5999999999999996
2,2,28800,3.5999999999999996
2,2,30600,3.5999999999999996
2,2,32400,7.199999999999999
2,2,34200,7.199999999999999
2,2,36000,7.199999999999999
2,2,37800,7.199999999999999
2,2,39600,7.199999999999999
2,2,41400,7.199999999999999
2,3,21600,2.4
2,3,23400,2.4
2,3,25200,2.4
2,3,27000,2.4
2,3,28800,2.4
2,3,30600,2.4
2,3,32400,4.8
2,3,34200,4.8
2,3,36000,4.8
2,3,37800,4.8
2,3,39600,4.8
2,3,41400,4.8
